input,label
hiiiiiiiiii,greeting
hola,greeting
Hi!,greeting
Hello!,greeting
Hey there!,greeting
Hi there!,greeting
hii,greeting
Hey!,greeting
Greetings!,greeting
Howdy!,greeting
What's up?,greeting
Good day!,greeting
Good morning!,greeting
Good afternoon!,greeting
Good evening!,greeting
Hiya!,greeting
Yo!,greeting
How's it going?,greeting
What's new?,greeting
"Well, hello!",greeting
"Hi, how are you?",greeting
"Hi, what's up?",greeting
"Hey, how's it going?",greeting
"Hey, how are you doing?",greeting
"Hi, how's everything?",greeting
Good to see you!,greeting
"Hi there, what's going on?",greeting
"Hello, how have you been?",greeting
"Hey, what's happening?",greeting
"Hiya, how's your day?",greeting
"Well, hello there!",greeting
"Hey, how are things?",greeting
"Hi, nice to meet you!",greeting
"Hello, what's new with you?",greeting
"Hi there, how's life treating you?",greeting
"Hey, how's your day going?",greeting
"Hiya, how are things going?",greeting
"Well, hi there! What's up?",greeting
"Hello, how have you been lately?",greeting
"Hi there, what's been going on?",greeting
"Hey, how are you holding up?",greeting
"Hi, how's everything going for you?",greeting
"Well, hello! How are you today?",greeting
what courses do you offer?,course_inquiry
courses,course_inquiry
did your organization provide data science course?,course_inquiry
did your organization provide Full Stack development course?,course_inquiry
did your organization provide python course?,course_inquiry
did your organization provide programming course?,course_inquiry
available courses,course_inquiry
What courses do you offer?,course_inquiry
What courses are available?,course_inquiry
Can you tell me about your courses?,course_inquiry
tell me about thecourse you provide?,course_inquiry
tell me about thecourses you provide?,course_inquiry
Could you list the courses you provide?,course_inquiry
Do you have any courses?,course_inquiry
What kinds of courses do you have?,course_inquiry
Which courses are you offering?,course_inquiry
What classes do you offer?,course_inquiry
Can you provide information on your courses?,course_inquiry
What educational programs do you offer?,course_inquiry
What study programs are available?,course_inquiry
Do you offer any courses?,course_inquiry
Can you tell me about the courses you have?,course_inquiry
What are your available courses?,course_inquiry
What are the courses you currently offer?,course_inquiry
What training programs do you offer?,course_inquiry
Could you tell me what courses you have?,course_inquiry
What subjects do your courses cover?,course_inquiry
Which courses can I take with you?,course_inquiry
What classes are you offering right now?,course_inquiry
Can you list the available courses?,course_inquiry
What are your current course offerings?,course_inquiry
What types of courses do you offer?,course_inquiry
Do you have a list of courses?,course_inquiry
What are the learning options available?,course_inquiry
What are the educational opportunities you offer?,course_inquiry
What lessons do you offer?,course_inquiry
What are the different courses you provide?,course_inquiry
Can you give me a rundown of your courses?,course_inquiry
What courses can I enroll in?,course_inquiry
Could you inform me about your courses?,course_inquiry
What training do you offer?,course_inquiry
What sort of courses are available?,course_inquiry
What programs of study do you provide?,course_inquiry
What can I learn from your courses?,course_inquiry
Which classes are available for enrollment?,course_inquiry
What is the range of courses you offer?,course_inquiry
Can you tell me what educational courses you have?,course_inquiry
What instructional courses are available?,course_inquiry
Do you have a course catalog?,course_inquiry
enroll,enrollment
registration process,enrollment
What are the enrollment procedures for courses?,enrollment
How do I enroll in a course?,enrollment
What steps do I need to take to enroll in a course?,enrollment
How can I sign up for a course?,enrollment
What is the process for registering in a course?,enrollment
How do I join a course?,enrollment
What do I need to do to enroll in a course?,enrollment
Can you guide me through the enrollment process for a course?,enrollment
Please explain how to enroll in a course.,enrollment
How do I get enrolled in a course?,enrollment
Could you help me with the course enrollment?,enrollment
I'm interested in enrolling in a course. What should I do?,enrollment
What is the procedure for course enrollment?,enrollment
What is the enrollment process for your courses?,enrollment
How do I go about enrolling in a course?,enrollment
What are the requirements to enroll in a course?,enrollment
How can I register for a course?,enrollment
What are the steps to register for a course?,enrollment
How do I apply for a course?,enrollment
What do I have to do to register for a course?,enrollment
Can you tell me how to enroll in a course?,enrollment
What is needed to enroll in a course?,enrollment
What is the enrollment method for courses?,enrollment
How do I sign up for a course?,enrollment
